objects,auroc_px,aupro_px,ap_px,f1_px,iou,auroc_sp,aupro_sp,ap_sp,f1_sp,threshold
bottle,99.15,96.64,87.22,80.11,66.81,100.0,0,100.0,100.0,0.097
cable,98.8,94.61,77.48,72.62,57.02,98.26,0,98.86,96.09,0.098
capsule,98.49,95.66,44.77,46.08,29.93,97.41,0,99.43,97.22,0.075
carpet,99.67,98.41,84.89,75.89,61.14,100.0,0,100.0,100.0,0.119
grid,96.88,91.02,37.03,43.43,27.73,98.66,0,99.56,98.21,0.11
hazelnut,99.05,96.29,67.14,68.32,51.89,100.0,0,100.0,100.0,0.12
leather,99.63,98.7,59.62,59.07,41.92,100.0,0,100.0,100.0,0.153
metal_nut,97.21,95.86,80.51,83.13,71.13,100.0,0,100.0,100.0,0.084
pill,98.79,98.0,81.75,73.11,57.62,97.22,0,99.52,96.84,0.08
screw,98.78,93.31,31.21,38.74,24.03,92.29,0,97.48,91.8,0.088
tile,98.81,96.06,84.99,78.35,64.41,100.0,0,100.0,100.0,0.117
toothbrush,99.28,92.54,57.89,65.94,49.19,100.0,0,100.0,100.0,0.112
transistor,95.68,85.93,63.32,60.63,43.5,93.04,0,90.33,85.06,0.069
wood,97.32,94.21,71.87,66.88,50.24,98.68,0,99.58,97.52,0.135
zipper,98.19,94.83,60.55,63.55,46.57,97.74,0,99.35,97.5,0.061
mean,98.38,94.8,66.01,65.06,49.54,98.22,0.0,98.94,97.35,0.101
