objects,auroc_px,aupro_px,ap_px,f1_px,iou,auroc_sp,aupro_sp,ap_sp,f1_sp,threshold
candle,99.48,96.67,24.22,36.34,22.21,95.3,0,95.23,91.26,0.097
capsules,98.84,88.11,40.64,45.61,29.54,93.47,0,96.63,89.76,0.085
cashew,99.54,95.77,67.28,66.76,50.1,95.9,0,98.21,92.71,0.068
chewinggum,99.61,92.69,77.5,70.61,54.57,99.34,0,99.68,97.06,0.151
fryum,97.88,90.4,43.57,53.91,36.9,96.62,0,98.62,94.3,0.054
macaroni1,99.6,97.55,14.81,20.95,11.69,91.9,0,92.25,86.96,0.09
macaroni2,97.5,90.98,6.87,17.63,9.66,77.17,0,80.96,73.59,0.096
pcb1,99.64,94.85,81.15,72.83,57.26,84.94,0,84.77,80.79,0.089
pcb2,97.59,80.29,20.8,31.4,18.62,86.54,0,85.49,80.93,0.088
pcb3,97.96,88.56,30.75,36.5,22.32,85.68,0,87.54,80.37,0.093
pcb4,98.62,91.94,41.34,45.57,29.51,93.57,0,93.69,88.15,0.083
pipe_fryum,99.25,96.9,51.86,60.13,42.99,99.42,0,99.7,99.0,0.084
mean,98.79,92.06,41.73,46.52,32.11,91.65,0.0,92.73,87.91,0.09
