objects,auroc_px,aupro_px,ap_px,f1_px,iou,auroc_sp,aupro_sp,ap_sp,f1_sp,threshold
bagel,99.47,98.23,63.22,62.43,45.38,96.33,0,99.2,95.86,0.181
cable_gland,98.38,95.18,27.12,36.42,22.26,77.89,0,93.37,90.53,0.184
carrot,99.25,97.32,29.09,37.08,22.76,86.11,0,96.0,93.09,0.141
cookie,99.03,95.18,69.56,65.3,48.48,77.18,0,93.31,88.31,0.147
dowel,98.88,95.35,32.68,39.26,24.42,78.44,0,93.78,89.87,0.157
foam,88.51,69.5,29.24,38.38,23.74,79.06,0,94.77,89.89,0.194
peach,99.47,97.98,48.16,50.05,33.37,90.35,0,97.45,92.52,0.181
potato,99.41,97.04,31.38,36.23,22.12,67.19,0,88.47,90.2,0.145
rope,99.19,96.77,49.27,48.86,32.33,91.12,0,96.44,88.24,0.154
tire,98.01,91.08,29.58,36.7,22.47,71.45,0,90.99,87.44,0.15
mean,97.96,93.36,40.93,45.07,29.73,81.51,0.0,94.38,90.59,0.163
