objects,auroc_px,aupro_px,ap_px,f1_px,iou,auroc_sp,aupro_sp,ap_sp,f1_sp,threshold
bottle,98.6,93.92,80.72,74.79,59.73,100.0,0,100.0,100.0,0.078
cable,98.08,91.65,65.69,62.92,45.9,96.91,0,98.19,94.68,0.081
capsule,98.6,95.33,38.9,45.36,29.33,97.17,0,99.43,95.96,0.064
carpet,99.53,97.22,84.72,75.97,61.26,99.8,0,99.94,99.43,0.106
grid,94.52,85.58,28.07,35.29,21.42,96.83,0,98.9,95.5,0.103
hazelnut,99.19,93.91,71.86,70.84,54.85,99.21,0,99.59,97.1,0.106
leather,99.58,98.1,59.08,56.84,39.7,100.0,0,100.0,100.0,0.134
metal_nut,97.12,94.64,79.73,81.16,68.29,99.71,0,99.93,99.46,0.081
pill,98.79,96.21,79.55,72.2,56.5,94.24,0,98.81,96.17,0.067
screw,98.67,92.94,22.9,32.03,19.07,80.96,0,92.49,87.5,0.069
tile,98.38,94.51,79.56,76.06,61.37,100.0,0,100.0,100.0,0.094
toothbrush,98.94,88.33,50.57,60.76,43.64,96.67,0,98.57,96.77,0.101
transistor,95.64,83.93,65.58,64.41,47.5,90.54,0,84.61,83.52,0.064
wood,96.97,91.48,68.73,65.01,48.16,98.6,0,99.53,97.56,0.132
zipper,95.19,87.42,45.87,49.23,32.65,96.59,0,99.12,95.08,0.056
mean,97.85,92.35,61.44,61.52,45.96,96.48,0.0,97.94,95.92,0.089
