objects,auroc_px,aupro_px,ap_px,f1_px,iou,auroc_sp,aupro_sp,ap_sp,f1_sp,threshold
candle,98.54,94.67,16.17,27.04,15.63,90.95,0,88.29,84.69,0.071
capsules,95.48,68.4,24.75,35.93,21.9,75.65,0,87.1,77.95,0.089
cashew,99.62,89.84,80.24,75.65,60.84,94.12,0,97.42,91.67,0.06
chewinggum,99.08,87.98,70.18,64.35,47.44,96.24,0,98.49,95.88,0.12
fryum,96.59,84.93,39.52,48.15,31.71,92.22,0,96.71,89.58,0.055
macaroni1,98.55,94.17,5.77,13.35,7.15,88.07,0,89.02,81.13,0.075
macaroni2,94.07,78.72,1.18,5.19,2.66,63.01,0,64.99,70.63,0.093
pcb1,99.21,86.23,71.08,67.03,50.41,65.63,0,66.7,67.91,0.079
pcb2,96.11,72.16,9.83,21.27,11.9,76.61,0,80.24,72.27,0.08
pcb3,97.81,77.56,19.05,28.28,16.47,74.85,0,78.13,70.05,0.081
pcb4,97.88,87.52,30.12,34.81,21.07,87.61,0,87.92,81.69,0.077
pipe_fryum,99.42,95.48,61.57,67.07,50.46,97.2,0,98.64,94.36,0.086
mean,97.7,84.81,35.79,40.68,28.14,83.51,0.0,86.14,81.48,0.08
